index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
Country,Afghanistan,Albania,Algeria,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Myanmar,Cambodia,Canada,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Georgia,Germany,Greece,Guatemala,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Libya,Lithuania,Luxembourg,North Macedonia,Madagascar,Malaysia,Maldives,Malta,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Tajikistan,Thailand,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Zimbabwe
iso-a2, AF, AL, DZ, AR, AM, AU, AT, AZ, BH, BD, BY, BE, BO, BA, BW, BR, BG, MM, KH, CA, CL, CN, CO, CR, HR, CY, CZ, DK, DO, EC, EG, SV, EE, FI, FR, GE, DE, GR, GT, HN, HU, IS, IN, ID, IR, IQ, IE, IL, IT, JM, JP, JO, KZ, KE, KW, KG, LA, LV, LB, LY, LT, LU, MK, MG, MY, MV, MT, MU, MX, MD, MN, ME, MA, MZ, NA, NP, NL, NZ, NI, NO, PK, PA, PY, PE, PH, PL, PT, RO, RU, SA, RS, SG, SK, SI, ZA, KR, ES, LK, SE, CH, TJ, TH, TN, TR, TM, UG, UA, AE, GB, US, UY, UZ, VE, VN, ZW
iso-a3, AFG, ALB, DZA, ARG, ARM, AUS, AUT, AZE, BHR, BGD, BLR, BEL, BOL, BIH, BWA, BRA, BGR, MMR, KHM, CAN, CHL, CHN, COL, CRI, HRV, CYP, CZE, DNK, DOM, ECU, EGY, SLV, EST, FIN, FRA, GEO, DEU, GRC, GTM, HND, HUN, ISL, IND, IDN, IRN, IRQ, IRL, ISR, ITA, JAM, JPN, JOR, KAZ, KEN, KWT, KGZ, LAO, LVA, LBN, LBY, LTU, LUX, MKD, MDG, MYS, MDV, MLT, MUS, MEX, MDA, MNG, MNE, MAR, MOZ, NAM, NPL, NLD, NZL, NIC, NOR, PAK, PAN, PRY, PER, PHL, POL, PRT, ROU, RUS, SAU, SRB, SGP, SVK, SVN, ZAF, KOR, ESP, LKA, SWE, CHE, TJK, THA, TUN, TUR, TKM, UGA, UKR, ARE, GBR, USA, URY, UZB, VEN, VNM, ZWE
Metal_bands_per_100000_people,0.005,0.227,0.037,4.158,0.631,5.986,7.473,0.088,0.393,0.04,3.103,5.654,2.067,2.248,0.298,1.955,2.934,0.016,0.012,7.263,11.449,0.02,2.961,4.562,5.892,4.058,9.007,8.482,0.293,2.75,0.039,1.471,11.065,42.613,4.259,0.466,7.166,11.694,0.649,0.535,6.209,31.9,0.015,0.582,0.109,0.03,4.421,1.878,5.807,0.071,1.057,0.183,0.13,0.011,0.165,0.1,0.092,4.456,0.475,0.057,3.983,5.941,2.96,0.058,1.366,1.536,11.066,0.144,1.843,0.752,0.156,1.482,0.06,0.003,0.037,0.076,6.252,5.77,0.561,18.277,0.008,1.375,2.393,1.248,0.232,3.988,7.327,1.272,2.159,0.026,4.086,2.949,6.567,7.802,0.29,0.282,4.236,0.13,22.228,7.452,0.033,0.19,0.212,0.399,0.036,0.004,1.634,0.142,4.911,5.241,3.561,0.029,1.18,0.02,0.013
Bands,2,7,16,"1,907",19,"1,545",664,9,6,65,293,666,243,86,7,"4,173",203,9,2,"2,756","2,096",284,"1,491",235,248,52,964,500,31,470,41,96,135,"2,381","2,900",23,"5,726","1,236",113,50,604,113,196,"1,601",94,12,231,165,"3,623",2,"1,318",20,25,6,5,6,7,83,25,4,108,38,63,16,458,6,51,2,"2,400",25,5,9,22,1,1,23,"1,084",288,35,"1,007",19,54,174,402,257,"1,523",752,270,"3,072",9,285,173,357,164,165,146,"2,002",30,"2,281",630,3,132,25,329,2,2,715,14,"3,244","17,557",121,9,343,21,2
Population,"37,466,414","3,088,385","43,576,691","45,864,941","3,011,609","25,809,973","8,884,864","10,282,283","1,526,929","164,098,818","9,441,842","11,778,842","11,758,869","3,824,782","2,350,667","213,445,417","6,919,180","57,069,099","17,304,363","37,943,231","18,307,925","1,397,897,720","50,355,650","5,151,140","4,208,973","1,281,506","10,702,596","5,894,687","10,597,348","17,093,159","106,437,241","6,528,135","1,220,042","5,587,442","68,084,217","4,933,674","79,903,481","10,569,703","17,422,821","9,346,277","9,728,337","354,234","1,339,330,514","275,122,131","85,888,910","39,650,145","5,224,884","8,787,045","62,390,364","2,816,602","124,687,293","10,909,567","19,245,793","54,685,051","3,032,065","6,018,789","7,574,356","1,862,687","5,261,372","7,017,224","2,711,566","639,589","2,128,262","27,534,354","33,519,406","390,669","460,891","1,386,129","130,207,371","3,323,875","3,198,913","607,414","36,561,813","30,888,034","2,678,191","30,424,878","17,337,403","4,991,442","6,243,931","5,509,591","238,181,034","3,928,646","7,272,639","32,201,224","110,818,325","38,185,913","10,263,850","21,230,362","142,320,790","34,783,757","6,974,289","5,866,139","5,436,066","2,102,106","56,978,635","51,715,162","47,260,584","23,044,123","10,261,767","8,453,550","8,990,874","69,480,520","11,811,335","82,482,383","5,579,889","44,712,143","43,745,640","9,856,612","66,052,076","334,998,398","3,398,239","30,842,796","29,069,153","102,789,598","14,829,988"
Happiness,2.523,5.117,4.887,5.929,5.283,7.183,7.268,5.171,6.647,5.025,5.534,6.834,5.716,5.813,3.467,6.33,5.266,4.426,4.83,7.103,6.172,5.339,6.012,7.069,5.882,6.223,6.965,7.62,5.545,5.764,4.283,6.061,6.189,7.842,6.69,4.891,7.155,5.723,6.435,5.919,5.992,7.554,3.819,5.345,4.721,4.854,7.085,7.157,6.483,6.309,5.94,4.395,6.152,4.607,6.106,5.744,5.03,6.032,4.584,5.41,6.255,7.324,5.101,4.208,5.384,5.198,6.602,6.049,6.317,5.766,5.677,5.581,4.918,4.794,4.574,5.269,7.464,7.277,5.972,7.392,4.934,6.18,5.653,5.84,5.88,6.166,5.929,6.14,5.477,6.494,6.078,6.377,6.331,6.461,4.956,5.845,6.491,4.325,7.363,7.571,5.466,5.985,4.596,4.948,5.066,4.636,4.875,6.561,7.064,6.951,6.431,6.179,4.892,5.411,3.145
GDP_per_capita,7.695,9.52,9.342,9.962,9.487,10.796,10.906,9.569,10.669,8.454,9.853,10.823,9.046,9.59,9.782,9.577,10.016,8.541,8.36,10.776,10.071,9.673,9.557,9.88,10.217,10.576,10.556,10.933,9.802,9.313,9.367,9.054,10.481,10.775,10.704,9.585,10.873,10.279,9.053,8.648,10.358,10.878,8.755,9.365,9.584,9.24,11.342,10.575,10.623,9.186,10.611,9.182,10.155,8.361,10.817,8.538,8.947,10.315,9.626,9.622,10.499,11.647,9.693,7.396,10.238,9.826,10.674,10.008,9.859,9.454,9.4,9.94,8.903,7.158,9.161,8.12,10.932,10.643,8.62,11.053,8.458,10.35,9.448,9.458,9.076,10.382,10.421,10.284,10.189,10.743,9.787,11.488,10.369,10.529,9.403,10.651,10.571,9.47,10.867,11.117,8.091,9.805,9.266,10.24,9.629,7.677,9.436,11.085,10.707,11.023,9.966,8.836,9.073,8.973,7.943
Social_support,0.463,0.697,0.802,0.898,0.799,0.94,0.934,0.836,0.862,0.693,0.91,0.906,0.81,0.87,0.784,0.882,0.931,0.779,0.765,0.926,0.882,0.811,0.847,0.891,0.924,0.802,0.947,0.954,0.853,0.821,0.75,0.762,0.941,0.954,0.942,0.671,0.903,0.823,0.813,0.812,0.943,0.983,0.603,0.811,0.71,0.746,0.947,0.939,0.88,0.877,0.884,0.767,0.952,0.688,0.843,0.893,0.728,0.927,0.848,0.827,0.935,0.908,0.805,0.686,0.817,0.913,0.931,0.905,0.831,0.857,0.935,0.858,0.56,0.744,0.818,0.774,0.942,0.948,0.864,0.954,0.651,0.896,0.893,0.832,0.83,0.898,0.879,0.832,0.903,0.891,0.873,0.915,0.936,0.948,0.86,0.799,0.932,0.827,0.934,0.942,0.86,0.888,0.691,0.822,0.983,0.781,0.888,0.844,0.934,0.92,0.925,0.918,0.861,0.85,0.75
Life_expectancy,52.493,68.999,66.005,69,67.055,73.9,73.3,65.656,69.495,64.8,66.253,72.199,63.901,68.098,59.269,66.601,67,59.302,62,73.8,70,69.593,68.001,71.4,70.799,73.898,70.807,72.7,66.102,68.8,61.998,66.402,68.8,72,74,64.3,72.5,72.6,64.958,67.3,68,73,60.633,62.236,66.3,60.583,72.4,73.503,73.8,67.5,75.1,67,65.2,60.704,66.9,64.401,58.968,67.1,67.355,62.3,67.906,72.6,65.474,59.305,67.102,70.6,72.2,66.701,68.597,65.699,62.5,68.699,66.208,54.706,56.799,64.233,72.4,73.4,67.657,73.3,58.709,69.652,65.9,68.25,62,69.702,72.6,67.355,64.703,66.603,68.6,76.953,69.201,71.4,56.904,73.9,74.7,67.299,72.7,74.4,64.281,67.401,67.201,67.199,62.409,56.101,64.902,67.333,72.5,68.2,69.1,65.255,66.7,68.034,56.201
