COUNTRY,HAPPINESS,CODE
Afghanistan,2.523,AFG
Albania,5.117,ALB
Algeria,4.887,DZA
Argentina,5.929,ARG
Armenia,5.283,ARM
Australia,7.183,AUS
Austria,7.268,AUT
Azerbaijan,5.171,AZE
Bahrain,6.647,BHR
Bangladesh,5.025,BGD
Belarus,5.534,BLR
Belgium,6.834,BEL
Bolivia,5.716,BOL
Bosnia and Herzegovina,5.813,BIH
Botswana,3.467,BWA
Brazil,6.33,BRA
Bulgaria,5.266,BGR
Myanmar,4.426,MMR
Cambodia,4.83,KHM
Canada,7.103,CAN
Chile,6.172,CHL
China,5.339,CHN
Colombia,6.012,COL
Costa Rica,7.069,CRI
Croatia,5.882,HRV
Cyprus,6.223,CYP
Czech Republic,6.965,CZE
Denmark,7.62,DNK
Dominican Republic,5.545,DOM
Ecuador,5.764,ECU
Egypt,4.283,EGY
El Salvador,6.061,SLV
Estonia,6.189,EST
Finland,7.842,FIN
France,6.69,FRA
Georgia,4.891,GEO
Germany,7.155,DEU
Greece,5.723,GRC
Guatemala,6.435,GTM
Honduras,5.919,HND
Hungary,5.992,HUN
Iceland,7.554,ISL
India,3.819,IND
Indonesia,5.345,IDN
Iran,4.721,IRN
Iraq,4.854,IRQ
Ireland,7.085,IRL
Israel,7.157,ISR
Italy,6.483,ITA
Jamaica,6.309,JAM
Japan,5.94,JPN
Jordan,4.395,JOR
Kazakhstan,6.152,KAZ
Kenya,4.607,KEN
Kuwait,6.106,KWT
Kyrgyzstan,5.744,KGZ
Laos,5.03,LAO
Latvia,6.032,LVA
Lebanon,4.584,LBN
Libya,5.41,LBY
Lithuania,6.255,LTU
Luxembourg,7.324,LUX
North Macedonia,5.101,MKD
Madagascar,4.208,MDG
Malaysia,5.384,MYS
Maldives,5.198,MDV
Malta,6.602,MLT
Mauritius,6.049,MUS
Mexico,6.317,MEX
Moldova,5.766,MDA
Mongolia,5.677,MNG
Montenegro,5.581,MNE
Morocco,4.918,MAR
Mozambique,4.794,MOZ
Namibia,4.574,NAM
Nepal,5.269,NPL
Netherlands,7.464,NLD
New Zealand,7.277,NZL
Nicaragua,5.972,NIC
Norway,7.392,NOR
Pakistan,4.934,PAK
Panama,6.18,PAN
Paraguay,5.653,PRY
Peru,5.84,PER
Philippines,5.88,PHL
Poland,6.166,POL
Portugal,5.929,PRT
Romania,6.14,ROU
Russia,5.477,RUS
Saudi Arabia,6.494,SAU
Serbia,6.078,SRB
Singapore,6.377,SGP
Slovakia,6.331,SVK
Slovenia,6.461,SVN
South Africa,4.956,ZAF
South Korea,5.845,KOR
Spain,6.491,ESP
Sri Lanka,4.325,LKA
Sweden,7.363,SWE
Switzerland,7.571,CHE
Tajikistan,5.466,TJK
Thailand,5.985,THA
Tunisia,4.596,TUN
Turkey,4.948,TUR
Turkmenistan,5.066,TKM
Uganda,4.636,UGA
Ukraine,4.875,UKR
United Arab Emirates,6.561,ARE
United Kingdom,7.064,GBR
United States,6.951,USA
Uruguay,6.431,URY
Uzbekistan,6.179,UZB
Venezuela,4.892,VEN
Vietnam,5.411,VNM
Zimbabwe,3.145,ZWE
